Freq.	abs(V(drain))
1.00950415899147e+07	1.06491289355239e+01,0.00000000000000e+00
1.00955143327212e+07	1.06498118844830e+01,0.00000000000000e+00
1.00959870976659e+07	1.06504948968660e+01,0.00000000000000e+00
1.00964598847498e+07	1.06511779726814e+01,0.00000000000000e+00
1.00969326939739e+07	1.06518611119382e+01,0.00000000000000e+00
1.00974055253393e+07	1.06525443146452e+01,0.00000000000000e+00
1.00978783788471e+07	1.06532275808112e+01,0.00000000000000e+00
1.00983512544982e+07	1.06539109104450e+01,0.00000000000000e+00
1.00988241522936e+07	1.06545943035556e+01,0.00000000000000e+00
1.00992970722346e+07	1.06552777601515e+01,0.00000000000000e+00
1.00997700143219e+07	1.06559612802418e+01,0.00000000000000e+00
1.01002429785568e+07	1.06566448638352e+01,0.00000000000000e+00
1.01007159649403e+07	1.06573285109407e+01,0.00000000000000e+00
1.01011889734733e+07	1.06580122215668e+01,0.00000000000000e+00
1.01016620041569e+07	1.06586959957228e+01,0.00000000000000e+00
1.01021350569922e+07	1.06593798334174e+01,0.00000000000000e+00
1.01026081319801e+07	1.06600637346591e+01,0.00000000000000e+00
1.01030812291218e+07	1.06607476994572e+01,0.00000000000000e+00
1.01035543484183e+07	1.06614317278203e+01,0.00000000000000e+00
1.01040274898705e+07	1.06621158197572e+01,0.00000000000000e+00
1.01045006534796e+07	1.06627999752770e+01,0.00000000000000e+00
1.01049738392466e+07	1.06634841943883e+01,0.00000000000000e+00
1.01054470471725e+07	1.06641684771000e+01,0.00000000000000e+00
1.01059202772583e+07	1.06648528234212e+01,0.00000000000000e+00
1.01063935295051e+07	1.06655372333604e+01,0.00000000000000e+00
1.01068668039140e+07	1.06662217069266e+01,0.00000000000000e+00
1.01073401004859e+07	1.06669062441289e+01,0.00000000000000e+00
1.01078134192220e+07	1.06675908449757e+01,0.00000000000000e+00
1.01082867601231e+07	1.06682755094761e+01,0.00000000000000e+00
1.01087601231905e+07	1.06689602376391e+01,0.00000000000000e+00
1.01092335084250e+07	1.06696450294734e+01,0.00000000000000e+00
1.01097069158279e+07	1.06703298849879e+01,0.00000000000000e+00
1.01101803454000e+07	1.06710148041914e+01,0.00000000000000e+00
1.01106537971424e+07	1.06716997870929e+01,0.00000000000000e+00
1.01111272710563e+07	1.06723848337013e+01,0.00000000000000e+00
1.01116007671425e+07	1.06730699440252e+01,0.00000000000000e+00
1.01120742854022e+07	1.06737551180737e+01,0.00000000000000e+00
1.01125478258363e+07	1.06744403558557e+01,0.00000000000000e+00
1.01130213884460e+07	1.06751256573800e+01,0.00000000000000e+00
1.01134949732323e+07	1.06758110226555e+01,0.00000000000000e+00
1.01139685801961e+07	1.06764964516912e+01,0.00000000000000e+00
1.01144422093386e+07	1.06771819444957e+01,0.00000000000000e+00
1.01149158606608e+07	1.06778675010781e+01,0.00000000000000e+00
1.01153895341636e+07	1.06785531214472e+01,0.00000000000000e+00
1.01158632298483e+07	1.06792388056120e+01,0.00000000000000e+00
1.01163369477157e+07	1.06799245535812e+01,0.00000000000000e+00
1.01168106877670e+07	1.06806103653639e+01,0.00000000000000e+00
1.01172844500031e+07	1.06812962409689e+01,0.00000000000000e+00
1.01177582344251e+07	1.06819821804051e+01,0.00000000000000e+00
1.01182320410341e+07	1.06826681836814e+01,0.00000000000000e+00
1.01187058698311e+07	1.06833542508066e+01,0.00000000000000e+00
1.01191797208171e+07	1.06840403817897e+01,0.00000000000000e+00
1.01196535939932e+07	1.06847265766396e+01,0.00000000000000e+00
1.01201274893604e+07	1.06854128353653e+01,0.00000000000000e+00
1.01206014069197e+07	1.06860991579754e+01,0.00000000000000e+00
1.01210753466722e+07	1.06867855444793e+01,0.00000000000000e+00
1.01215493086190e+07	1.06874719948853e+01,0.00000000000000e+00
1.01220232927610e+07	1.06881585092028e+01,0.00000000000000e+00
1.01224972990993e+07	1.06888450874404e+01,0.00000000000000e+00
1.01229713276349e+07	1.06895317296073e+01,0.00000000000000e+00
1.01234453783689e+07	1.06902184357122e+01,0.00000000000000e+00
1.01239194513024e+07	1.06909052057641e+01,0.00000000000000e+00
1.01243935464363e+07	1.06915920397719e+01,0.00000000000000e+00
1.01248676637717e+07	1.06922789377445e+01,0.00000000000000e+00
1.01253418033096e+07	1.06929658996908e+01,0.00000000000000e+00
1.01258159650511e+07	1.06936529256198e+01,0.00000000000000e+00
1.01262901489973e+07	1.06943400155403e+01,0.00000000000000e+00
1.01267643551491e+07	1.06950271694614e+01,0.00000000000000e+00
1.01272385835076e+07	1.06957143873919e+01,0.00000000000000e+00
1.01277128340738e+07	1.06964016693408e+01,0.00000000000000e+00
1.01281871068488e+07	1.06970890153170e+01,0.00000000000000e+00
1.01286614018337e+07	1.06977764253293e+01,0.00000000000000e+00
1.01291357190294e+07	1.06984638993870e+01,0.00000000000000e+00
1.01296100584370e+07	1.06991514374986e+01,0.00000000000000e+00
1.01300844200575e+07	1.06998390396733e+01,0.00000000000000e+00
1.01305588038920e+07	1.07005267059199e+01,0.00000000000000e+00
1.01310332099415e+07	1.07012144362476e+01,0.00000000000000e+00
1.01315076382071e+07	1.07019022306650e+01,0.00000000000000e+00
1.01319820886898e+07	1.07025900891812e+01,0.00000000000000e+00
1.01324565613906e+07	1.07032780118052e+01,0.00000000000000e+00
1.01329310563107e+07	1.07039659985460e+01,0.00000000000000e+00
1.01334055734509e+07	1.07046540494124e+01,0.00000000000000e+00
1.01338801128124e+07	1.07053421644132e+01,0.00000000000000e+00
1.01343546743962e+07	1.07060303435576e+01,0.00000000000000e+00
1.01348292582033e+07	1.07067185868547e+01,0.00000000000000e+00
1.01353038642348e+07	1.07074068943131e+01,0.00000000000000e+00
1.01357784924918e+07	1.07080952659420e+01,0.00000000000000e+00
1.01362531429752e+07	1.07087837017503e+01,0.00000000000000e+00
1.01367278156861e+07	1.07094722017468e+01,0.00000000000000e+00
1.01372025106256e+07	1.07101607659406e+01,0.00000000000000e+00
1.01376772277947e+07	1.07108493943408e+01,0.00000000000000e+00
1.01381519671943e+07	1.07115380869561e+01,0.00000000000000e+00
1.01386267288257e+07	1.07122268437957e+01,0.00000000000000e+00
1.01391015126898e+07	1.07129156648683e+01,0.00000000000000e+00
1.01395763187876e+07	1.07136045501831e+01,0.00000000000000e+00
1.01400511471202e+07	1.07142934997490e+01,0.00000000000000e+00
1.01405259976886e+07	1.07149825135750e+01,0.00000000000000e+00
1.01410008704940e+07	1.07156715916700e+01,0.00000000000000e+00
1.01414757655372e+07	1.07163607340432e+01,0.00000000000000e+00
1.01419506828194e+07	1.07170499407031e+01,0.00000000000000e+00
1.01424256223416e+07	1.07177392116592e+01,0.00000000000000e+00
1.01429005841049e+07	1.07184285469202e+01,0.00000000000000e+00
1.01433755681102e+07	1.07191179464952e+01,0.00000000000000e+00
1.01438505743586e+07	1.07198074103932e+01,0.00000000000000e+00
1.01443256028513e+07	1.07204969386230e+01,0.00000000000000e+00
1.01448006535891e+07	1.07211865311937e+01,0.00000000000000e+00
1.01452757265732e+07	1.07218761881143e+01,0.00000000000000e+00
1.01457508218045e+07	1.07225659093939e+01,0.00000000000000e+00
1.01462259392842e+07	1.07232556950412e+01,0.00000000000000e+00
1.01467010790133e+07	1.07239455450656e+01,0.00000000000000e+00
1.01471762409928e+07	1.07246354594757e+01,0.00000000000000e+00
1.01476514252238e+07	1.07253254382807e+01,0.00000000000000e+00
1.01481266317072e+07	1.07260154814896e+01,0.00000000000000e+00
1.01486018604442e+07	1.07267055891114e+01,0.00000000000000e+00
1.01490771114358e+07	1.07273957611552e+01,0.00000000000000e+00
1.01495523846830e+07	1.07280859976296e+01,0.00000000000000e+00
1.01500276801869e+07	1.07287762985441e+01,0.00000000000000e+00
1.01505029979485e+07	1.07294666639074e+01,0.00000000000000e+00
1.01509783379689e+07	1.07301570937287e+01,0.00000000000000e+00
1.01514537002490e+07	1.07308475880168e+01,0.00000000000000e+00
1.01519290847900e+07	1.07315381467808e+01,0.00000000000000e+00
1.01524044915929e+07	1.07322287700299e+01,0.00000000000000e+00
1.01528799206586e+07	1.07329194577729e+01,0.00000000000000e+00
1.01533553719884e+07	1.07336102100189e+01,0.00000000000000e+00
1.01538308455832e+07	1.07343010267769e+01,0.00000000000000e+00
1.01543063414440e+07	1.07349919080558e+01,0.00000000000000e+00
1.01547818595719e+07	1.07356828538650e+01,0.00000000000000e+00
1.01552573999680e+07	1.07363738642130e+01,0.00000000000000e+00
1.01557329626332e+07	1.07370649391093e+01,0.00000000000000e+00
1.01562085475687e+07	1.07377560785626e+01,0.00000000000000e+00
1.01566841547754e+07	1.07384472825821e+01,0.00000000000000e+00
1.01571597842544e+07	1.07391385511768e+01,0.00000000000000e+00
1.01576354360068e+07	1.07398298843556e+01,0.00000000000000e+00
1.01581111100336e+07	1.07405212821278e+01,0.00000000000000e+00
1.01585868063358e+07	1.07412127445023e+01,0.00000000000000e+00
1.01590625249145e+07	1.07419042714880e+01,0.00000000000000e+00
1.01595382657707e+07	1.07425958630940e+01,0.00000000000000e+00
1.01600140289055e+07	1.07432875193296e+01,0.00000000000000e+00
1.01604898143199e+07	1.07439792402036e+01,0.00000000000000e+00
1.01609656220149e+07	1.07446710257250e+01,0.00000000000000e+00
1.01614414519917e+07	1.07453628759031e+01,0.00000000000000e+00
1.01619173042512e+07	1.07460547907467e+01,0.00000000000000e+00
1.01623931787945e+07	1.07467467702649e+01,0.00000000000000e+00
1.01628690756226e+07	1.07474388144668e+01,0.00000000000000e+00
1.01633449947366e+07	1.07481309233615e+01,0.00000000000000e+00
1.01638209361375e+07	1.07488230969580e+01,0.00000000000000e+00
1.01642968998263e+07	1.07495153352653e+01,0.00000000000000e+00
1.01647728858042e+07	1.07502076382925e+01,0.00000000000000e+00
1.01652488940721e+07	1.07509000060486e+01,0.00000000000000e+00
1.01657249246311e+07	1.07515924385429e+01,0.00000000000000e+00
1.01662009774822e+07	1.07522849357842e+01,0.00000000000000e+00
1.01666770526265e+07	1.07529774977816e+01,0.00000000000000e+00
1.01671531500650e+07	1.07536701245443e+01,0.00000000000000e+00
1.01676292697988e+07	1.07543628160812e+01,0.00000000000000e+00
1.01681054118289e+07	1.07550555724016e+01,0.00000000000000e+00
1.01685815761564e+07	1.07557483935143e+01,0.00000000000000e+00
1.01690577627822e+07	1.07564412794287e+01,0.00000000000000e+00
1.01695339717075e+07	1.07571342301535e+01,0.00000000000000e+00
1.01700102029333e+07	1.07578272456979e+01,0.00000000000000e+00
1.01704864564606e+07	1.07585203260712e+01,0.00000000000000e+00
1.01709627322905e+07	1.07592134712822e+01,0.00000000000000e+00
1.01714390304240e+07	1.07599066813401e+01,0.00000000000000e+00
1.01719153508622e+07	1.07605999562540e+01,0.00000000000000e+00
1.01723916936061e+07	1.07612932960330e+01,0.00000000000000e+00
1.01728680586567e+07	1.07619867006861e+01,0.00000000000000e+00
1.01733444460152e+07	1.07626801702224e+01,0.00000000000000e+00
1.01738208556825e+07	1.07633737046511e+01,0.00000000000000e+00
1.01742972876596e+07	1.07640673039812e+01,0.00000000000000e+00
1.01747737419477e+07	1.07647609682218e+01,0.00000000000000e+00
1.01752502185478e+07	1.07654546973818e+01,0.00000000000000e+00
1.01757267174609e+07	1.07661484914708e+01,0.00000000000000e+00
1.01762032386881e+07	1.07668423504974e+01,0.00000000000000e+00
